Date,Price
2019-09-18,6931.0
2019-09-19,6796.0
2019-09-20,6398.0
2019-09-21,6999.0
2019-09-22,6654.0
2019-09-23,6700.0
2019-09-24,6260.0
2019-09-25,6196.0
2019-09-26,6111.0
2019-09-27,5699.0
2019-09-28,5798.0
2019-09-29,6177.0
2019-09-30,6737.0
2019-10-01,7057.0
2019-10-02,7630.0
2019-10-03,7746.0
2019-10-04,7150.0
2019-10-05,7017.0
2019-10-06,6957.0
2019-10-07,7406.0
2019-10-08,7700.0
2019-10-09,8149.0
2019-10-10,8403.0
2019-10-11,8853.0
2019-10-12,8663.0
2019-10-13,9221.0
2019-10-14,8439.0
2019-10-15,7603.0
2019-10-16,7512.0
2019-10-17,7151.0
2019-10-18,7147.0
2019-10-19,7150.0
2019-10-20,7299.0
2019-10-21,6898.0
2019-10-22,6759.0
2019-10-23,6695.0
2019-10-24,6776.0
2019-10-25,6749.0
2019-10-26,6265.0
2019-10-27,5836.0
2019-10-28,5960.0
2019-10-29,5999.0
2019-10-30,6174.0
2019-10-31,6509.0
2019-11-01,7004.0
2019-11-02,7070.0
2019-11-03,7079.0
2019-11-04,6808.0
2019-11-05,6367.0
2019-11-06,6218.0
2019-11-07,6456.0
2019-11-08,5993.0
2019-11-09,5881.0
2019-11-10,6572.0
2019-11-11,6868.0
2019-11-12,6446.0
2019-11-13,6732.0
2019-11-14,7193.0
2019-11-15,7300.0
2019-11-16,6837.0
2019-11-17,7047.0
2019-11-18,7165.0
2019-11-19,7460.0
2019-11-20,7950.0
2019-11-21,8257.0
2019-11-22,7997.0
2019-11-23,8365.0
2019-11-24,8399.0
2019-11-25,8400.0
2019-11-26,8051.0
2019-11-27,7951.0
2019-11-28,8226.0
2019-11-29,8476.0
2019-11-30,8683.0
2019-12-01,8933.0
2019-12-02,8760.0
2019-12-03,7888.0
2019-12-04,7694.0
2019-12-05,7883.0
2019-12-06,7906.0
2019-12-07,7725.0
2019-12-08,7727.0
2019-12-09,7899.0
2019-12-10,8160.0
2019-12-11,8351.0
2019-12-12,7218.0
2019-12-13,7529.0
2019-12-14,7215.0
2019-12-15,7259.0
2019-12-16,7241.0
2019-12-17,7412.0
2019-12-18,7202.0
2019-12-19,7150.0
2019-12-20,7487.0
2019-12-21,7633.0
2019-12-22,7476.0
2019-12-23,7973.0
2019-12-24,7681.0
2019-12-25,7483.0
2019-12-26,7845.0
2019-12-27,6906.0
2019-12-28,6549.0
2019-12-29,6188.0
2019-12-30,5919.0
2019-12-31,6011.0
